1,홍길동,78,91,52,221,73.6666666667,1
2,유관순,67,63,100,230,76.6666666667,1
3,이순신,50,99,75,224,74.6666666667,1
4,강감찬,59,77,77,213,71,1
5,김구,85,61,98,244,81.3333333333,1
6,김유신,100,59,55,214,71.3333333333,1
7,홍길자,92,80,85,257,85.6666666667,1
8,홍길순7,51,80,51,182,60.6666666667,1
9,cchevin8,73,62,59,194,64.6666666667,1
10,gofener9,92,51,93,236,78.6666666667,1
11,tmarshmana,82,86,88,256,85.3333333333,1
12,radolfsonb,63,52,78,193,64.3333333333,1
13,akleemanc,81,88,56,225,75,1
14,pmarkosd,82,76,58,216,72,1
15,ndemeise,92,98,67,257,85.6666666667,1
16,bheepsf,74,59,65,198,66,1
17,amundeng,63,67,98,228,76,1
18,hcawtherah,62,84,80,226,75.3333333333,1
19,dkaspari,53,83,85,221,73.6666666667,1
20,sgrinyakinj,75,64,72,211,70.3333333333,1
